product_id,sku,product_name,category,subcategory,brand,supplier_id,cost_price,selling_price,reorder_point,shelf_life_days
PRD-001,SKU-PRE-001,Premium Masala Chai 250g,Beverages,Tea & Coffee,Tata Tea,SUP-001,110.0,150.0,30,365
PRD-002,SKU-SOU-002,South Indian Filter Coffee 200g,Beverages,Tea & Coffee,Bru Gold,SUP-001,130.0,185.0,25,270
PRD-003,SKU-ELE-003,Electrolyte Hydration Drink 500ml,Beverages,Energy & Sports,Enerzal,SUP-001,35.0,50.0,40,180
PRD-004,SKU-COL-004,Cold Pressed Alphonso Mango Juice 500ml,Beverages,Juices,Raw Pressery,SUP-001,70.0,110.0,50,45
PRD-005,SKU-PUR-005,Pure Coconut Water 200ml,Beverages,Juices,Paper Boat,SUP-001,30.0,45.0,35,120
PRD-006,SKU-SPA-006,Sparkling Jeera Soda 300ml,Beverages,Carbonated,Lahori,SUP-001,15.0,25.0,40,180
PRD-007,SKU-ORG-007,Organic Green Tea Lemon 25 bags,Beverages,Tea & Coffee,Organic India,SUP-001,160.0,240.0,20,540
PRD-008,SKU-BAD-008,Badam Milk Drink 200ml,Beverages,Dairy Drinks,Amul,SUP-001,28.0,40.0,30,90
PRD-009,SKU-APP-009,Apple Cider Vinegar 500ml,Beverages,Health Drinks,Kapiva,SUP-005,220.0,350.0,15,730
PRD-010,SKU-PRE-010,Premium Darjeeling First Flush 100g,Beverages,Tea & Coffee,Goodwyn,SUP-001,380.0,550.0,10,540
PRD-011,SKU-AML-011,Amla Aloe Vera Juice 1L,Beverages,Health Drinks,Baidyanath,SUP-005,140.0,210.0,15,365
PRD-012,SKU-ART-012,Artisanal Dark Chocolate Mocha Drink,Beverages,Specialty,Smoor,SUP-001,120.0,190.0,15,120
PRD-013,SKU-INS-013,Instant Chicory Coffee Mix 100g,Beverages,Tea & Coffee,Nescafe,SUP-001,85.0,125.0,25,365
PRD-014,SKU-KES-014,Kesar Pista Thandai Syrup 750ml,Beverages,Syrups,Guruji,SUP-001,210.0,320.0,12,365
PRD-015,SKU-ROA-015,Roasted Makhana Himalayan Salt 80g,Snacks,Healthy Snacks,Farmley,SUP-002,90.0,140.0,25,180
PRD-016,SKU-BIK-016,Bikaneri Bhujia Sev 400g,Snacks,Namkeen,Haldiram,SUP-002,85.0,120.0,40,180
PRD-017,SKU-MAS-017,Masala Potato Wafers 120g,Snacks,Chips,Balaji,SUP-002,28.0,40.0,50,120
PRD-018,SKU-MUL-018,Multigrain Methi Khakhra 200g,Snacks,Traditional,Jabsons,SUP-002,55.0,80.0,30,150
PRD-019,SKU-ART-019,Artisanal Dark Chocolate Bar 70% 80g,Snacks,Chocolates,Amul Dark,SUP-002,65.0,100.0,30,270
PRD-020,SKU-SAL-020,Salted California Almonds 200g,Snacks,Dry Fruits,Nutraj,SUP-002,180.0,260.0,20,365
